Chip Run Filename,C:\Documents and Settings\Administrator\Desktop\Melov Real Time PCR Runs\DonnaRealTime Project_Plate1\ChipRun.bml
Application Version,2.0.2
Application Build,20080502.1530
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear
Ct Threshold Method,Auto (Detectors)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold
S46-A04,3 Days D2,Unknown,1,Hamp,Test,27.8314954883011,0.98,Pass,0.0307597811147576
S46-A05,3 Days D2,Unknown,1,Slc40a1,Test,20.9153370187517,0.66,Pass,0.00665758110254866
S46-A06,3 Days D2,Unknown,1,Ppara,Test,24.132591991508,0.98,Pass,0.0143613838140424
S46-A07,3 Days D2,Unknown,1,Vegfa,Test,34.4745641903267,0.87,Pass,0.0130632654833801
S46-A08,3 Days D2,Unknown,1,Ep300,Test,17.8270141347607,0.92,Pass,0.00592725233700934
S46-A09,3 Days D2,Unknown,1,Ftl1,Test,18.2689229087144,0.72,Pass,0.00605555306988149
S46-A10,3 Days D2,Unknown,1,Ppargc1a,Test,15.6402722232102,0.95,Pass,0.0103153062665152
S46-A11,3 Days D2,Unknown,1,Epas1,Test,15.2365085926129,0.97,Pass,0.00845488203106051
S46-A12,3 Days D2,Unknown,1,Ogdh,Test,16.0271335483301,0.96,Pass,0.0154003440700253
S46-A13,3 Days D2,Unknown,1,GPX1,Test,999,0,Fail,0.1
S46-A14,3 Days D2,Unknown,1,Ucp2,Test,19.755050512179,0.92,Pass,0.00634618516443952
S46-A15,3 Days D2,Unknown,1,Ngb,Test,21.0413606100337,0.97,Pass,0.0132358407753192
S46-A16,3 Days D2,Unknown,1,Egln3,Test,18.8761692768258,0.95,Pass,0.0149010143493106
S46-A17,3 Days D2,Unknown,1,Bnip3I,Test,16.3015875249589,0.88,Pass,0.0214933930805613
S46-A18,3 Days D2,Unknown,1,Hif1a,Test,17.1411489850993,0.99,Pass,0.0274163579922502
S46-A19,3 Days D2,Unknown,1,Tfrc,Test,999,0,Fail,0.1
S46-A20,3 Days D2,Unknown,1,SDHb,Test,14.834365105491,0.94,Pass,0.0188587803835945
S46-A21,3 Days D2,Unknown,1,Mt3,Test,12.7091086132732,0.77,Pass,0.0228345411869442
S46-A22,3 Days D2,Unknown,1,Cat,Test,6.51616917705702,0.26,Fail,0.00201192985235196
S46-A23,3 Days D2,Unknown,1,Egln2,Test,19.1752575486351,0.95,Pass,0.00689486129308747
S46-A24,3 Days D2,Unknown,1,Egln1,Test,17.0316637546603,0.88,Pass,0.0097987151773852
S46-A25,3 Days D2,Unknown,1,Nfe212,Test,25.0868059951606,0.72,Pass,0.0128811432565052
S46-A26,3 Days D2,Unknown,1,Nos2,Test,25.0909554686736,0.96,Pass,0.0150035719669409
S46-A27,3 Days D2,Unknown,1,Hif3a,Test,22.7757325117064,0.9,Pass,0.0155135707898053
S46-A28,3 Days D2,Unknown,1,Bnip3,Test,15.7180731766763,0.97,Pass,0.0239177378873408
S46-A29,3 Days D2,Unknown,1,Cp,Test,999,0,Fail,0.1
S46-A30,3 Days D2,Unknown,1,Dppa5a,Test,23.451435552708,0.88,Pass,0.0109474022309234
S46-A31,3 Days D2,Unknown,1,Sod2,Test,16.0689881445191,0.95,Pass,0.0193117342570188
S46-A32,3 Days D2,Unknown,1,Mt1,Test,17.3954624288744,0.87,Pass,0.0150165747366286
S46-A33,3 Days D2,Unknown,1,PDK1,Test,22.5465831021887,0.98,Pass,0.0831058699701507
S46-A34,3 Days D2,Unknown,1,Car2,Test,15.1173884280339,0.87,Pass,0.0121965143027594
